,Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
258,SUV,Premium,Offer2,Unemployed,Single,Bachelor,2.0,180.0,1296.0,0.0,15481.25277
259,SUV,Basic,Offer1,Employed,Married,College,3.0,102.0,369.614729,50825.0,8092.87696
260,SUV,Extended,Offer4,Employed,Married,Bachelor,1.0,131.0,628.8,26877.0,5149.301306
261,Four-Door Car,Extended,Offer3,Employed,Married,College,9.0,96.0,204.953947,54878.0,7381.914168
262,Four-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,2.0,82.0,590.4,0.0,8276.44416
263,Four-Door Car,Basic,Offer1,Employed,Married,Master,4.0,63.0,205.043307,33566.0,5004.583872
264,SUV,Basic,Offer1,Medical Leave,Married,Master,9.0,109.0,132.588288,17780.0,8375.353929
265,SUV,Basic,Offer1,Employed,Single,College,4.0,112.0,1169.409787,53173.0,8736.501241
266,SUV,Basic,Offer1,Employed,Single,Master,2.0,119.0,571.2,66661.0,42561.63183
267,Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,3.0,76.0,214.586742,74257.0,6098.462114
268,SUV,Basic,Offer1,Employed,Married,High School or Below,1.0,119.0,112.268583,54194.0,4779.893422
269,Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,61.0,114.273025,95697.0,2471.528431
270,Luxury SUV,Basic,Offer3,Employed,Married,Bachelor,1.0,184.0,587.37679,33811.0,7221.151702
271,Four-Door Car,Basic,Offer3,Employed,Married,College,5.0,61.0,120.850664,72648.0,4871.15057
272,Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,3.0,62.0,690.548602,0.0,4628.280887
273,Sports Car,Extended,Offer2,Employed,Single,College,1.0,137.0,708.220713,58357.0,5350.367001
274,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,2.0,65.0,254.223496,42862.0,23435.72605
275,Two-Door Car,Basic,Offer3,Employed,Divorced,Doctor,1.0,73.0,211.336937,83318.0,2957.764017
276,Luxury SUV,Basic,Offer2,Employed,Married,College,5.0,185.0,75.698305,22012.0,14472.583
277,Two-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,65.0,468.0,0.0,6305.925101
278,SUV,Basic,Offer1,Employed,Married,College,1.0,117.0,561.6,53219.0,4673.196379
279,SUV,Basic,Offer1,Unemployed,Single,Bachelor,1.0,108.0,777.6,0.0,3823.853815
280,SUV,Extended,Offer4,Employed,Married,College,1.0,128.0,614.4,33169.0,5126.54272
281,Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,6.0,67.0,249.085887,85702.0,5441.42013
282,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,66.0,138.729702,24914.0,2615.304467
283,Two-Door Car,Basic,Offer3,Unemployed,Single,Bachelor,2.0,73.0,350.4,0.0,20766.66918
284,Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,5.0,66.0,700.331425,0.0,4838.877084
285,Sports Car,Basic,Offer2,Employed,Single,High School or Below,2.0,105.0,459.895876,40602.0,12383.5306
286,Four-Door Car,Extended,Offer2,Unemployed,Married,High School or Below,2.0,82.0,588.269018,0.0,21172.38983
287,Four-Door Car,Extended,Offer1,Medical Leave,Married,Master,7.0,98.0,136.248799,19064.0,7403.447336
288,SUV,Extended,Offer1,Unemployed,Divorced,Bachelor,8.0,129.0,628.366119,0.0,9435.540893
289,Two-Door Car,Extended,Offer2,Employed,Married,College,1.0,94.0,451.2,94903.0,3808.122147
290,Four-Door Car,Basic,Offer3,Employed,Divorced,College,5.0,71.0,17.484679,50097.0,5531.723723
291,Luxury SUV,Basic,Offer1,Medical Leave,Divorced,Bachelor,2.0,198.0,950.4,17130.0,28432.00202
292,SUV,Basic,Offer1,Disabled,Married,High School or Below,8.0,112.0,806.4,16994.0,8783.165364
293,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,1.0,70.0,336.0,30703.0,2814.438036
294,Two-Door Car,Basic,Offer1,Employed,Single,Bachelor,3.0,71.0,15.169017,70190.0,5577.942343
295,SUV,Basic,Offer1,Unemployed,Single,High School or Below,4.0,115.0,552.0,0.0,8460.80939
296,Four-Door Car,Extended,Offer2,Employed,Married,College,8.0,76.0,377.350433,22946.0,5980.846151
297,Four-Door Car,Basic,Offer1,Disabled,Divorced,Master,2.0,74.0,523.888845,26057.0,8509.850887
298,Two-Door Car,Basic,Offer4,Employed,Single,High School or Below,2.0,70.0,46.053458,45270.0,8161.781091
299,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2.0,71.0,791.878042,25998.0,8382.478392
300,Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,61.0,292.8,20495.0,12128.36511
301,SUV,Basic,Offer3,Employed,Married,High School or Below,1.0,106.0,508.8,30598.0,4198.02525
302,Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,63.0,76.629988,31678.0,2479.920134
303,SUV,Extended,Offer2,Employed,Single,Bachelor,1.0,130.0,624.0,48567.0,5015.009472
304,SUV,Basic,Offer1,Disabled,Married,College,3.0,107.0,513.6,14616.0,8126.766397
305,SUV,Extended,Offer1,Unemployed,Single,Bachelor,8.0,135.0,972.0,0.0,9354.128045
306,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,1.0,65.0,312.0,35795.0,2581.022016
307,Four-Door Car,Basic,Offer1,Employed,Married,College,1.0,69.0,331.2,53882.0,2790.682957
308,Four-Door Car,Basic,Offer1,Unemployed,Married,College,2.0,63.0,117.744416,0.0,9449.745947
309,Four-Door Car,Extended,Offer4,Unemployed,Married,High School or Below,2.0,82.0,554.522969,0.0,8930.139728
310,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,4.0,90.0,432.0,37840.0,7057.888812
311,Two-Door Car,Basic,Offer4,Employed,Married,Master,2.0,71.0,169.287785,53736.0,8596.916624
312,SUV,Premium,Offer1,Unemployed,Single,High School or Below,1.0,161.0,1159.2,0.0,5884.308607
313,Four-Door Car,Extended,Offer2,Employed,Divorced,Doctor,1.0,88.0,91.834668,30817.0,3436.134281
314,SUV,Basic,Offer2,Employed,Married,Bachelor,1.0,112.0,163.9498,75453.0,4439.677708
315,SUV,Premium,Offer2,Employed,Married,Master,2.0,140.0,422.494292,25167.0,51016.06704
316,Two-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,3.0,70.0,336.0,0.0,5292.632491
317,Four-Door Car,Basic,Offer2,Employed,Married,College,5.0,63.0,259.361117,72672.0,5035.744643
318,Four-Door Car,Basic,Offer1,Employed,Divorced,College,2.0,73.0,101.489422,50854.0,11516.40557
319,SUV,Extended,Offer1,Unemployed,Married,Bachelor,8.0,133.0,945.169882,0.0,9902.392683
320,Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,3.0,89.0,50.528355,88891.0,7255.953792
321,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2.0,66.0,86.461582,76358.0,23594.6802
322,Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,3.0,62.0,740.838216,0.0,4733.507343
323,Four-Door Car,Basic,Offer1,Employed,Divorced,Master,5.0,73.0,19.626306,46133.0,5718.276608
324,SUV,Basic,Offer3,Unemployed,Married,College,5.0,118.0,566.4,0.0,8586.662939
325,Four-Door Car,Premium,Offer1,Unemployed,Single,High School or Below,9.0,103.0,741.6,0.0,7215.821106
326,Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,4.0,88.0,633.6,0.0,6277.011679
327,Four-Door Car,Premium,Offer2,Unemployed,Single,High School or Below,1.0,102.0,976.112456,0.0,3472.369996
328,Four-Door Car,Extended,Offer2,Employed,Married,College,1.0,96.0,185.070399,23459.0,3847.352801
329,Four-Door Car,Extended,Offer1,Unemployed,Married,Bachelor,5.0,93.0,446.4,0.0,6832.111972
330,Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,1.0,68.0,51.822348,78889.0,2736.944466
332,Four-Door Car,Premium,Offer2,Employed,Married,Master,1.0,103.0,494.4,60010.0,4179.488639
333,Four-Door Car,Basic,Offer2,Unemployed,Single,Bachelor,2.0,70.0,491.112176,0.0,19511.99782
334,Sports Car,Basic,Offer2,Medical Leave,Married,College,6.0,111.0,225.437098,12780.0,8193.750001
335,Four-Door Car,Basic,Offer1,Employed,Divorced,College,1.0,74.0,145.365072,38870.0,2877.813846
336,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,4.0,72.0,345.6,27048.0,5697.175238
337,Two-Door Car,Basic,Offer4,Unemployed,Married,Master,1.0,72.0,345.6,0.0,2570.761765
338,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,6.0,66.0,248.405684,93818.0,5380.312218
339,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,3.0,72.0,345.6,41043.0,5643.802354
340,Four-Door Car,Extended,Offer2,Medical Leave,Married,College,1.0,95.0,915.188647,19121.0,3645.464325
341,Four-Door Car,Basic,Offer1,Disabled,Single,High School or Below,2.0,63.0,302.4,14533.0,11172.49931
342,Two-Door Car,Basic,Offer1,Employed,Single,College,3.0,70.0,42.238585,81064.0,5328.835851
343,Two-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,1.0,73.0,350.4,0.0,2693.75925
344,Sports Car,Extended,Offer2,Medical Leave,Married,Doctor,8.0,132.0,780.941649,23053.0,10127.77087
345,SUV,Basic,Offer3,Employed,Married,Bachelor,2.0,115.0,244.086665,51437.0,22754.66137
346,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,70.0,405.883346,39393.0,2755.221411
347,Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,1.0,69.0,331.2,0.0,2563.582441
348,SUV,Extended,Offer1,Employed,Married,College,1.0,125.0,537.315879,73809.0,5015.643575
349,Sports Car,Basic,Offer2,Unemployed,Single,High School or Below,5.0,110.0,686.90827,0.0,8207.858272
350,Four-Door Car,Basic,Offer2,Medical Leave,Divorced,Master,7.0,74.0,355.061143,14306.0,5264.361755
351,Two-Door Car,Premium,Offer1,Employed,Married,High School or Below,7.0,112.0,537.6,40867.0,8920.463999
352,SUV,Basic,Offer2,Unemployed,Single,College,2.0,111.0,1018.808223,0.0,11828.61437
353,SUV,Basic,Offer2,Unemployed,Married,Bachelor,1.0,102.0,660.430456,0.0,3567.503755
354,SUV,Basic,Offer2,Disabled,Married,High School or Below,2.0,119.0,571.2,11432.0,13466.92071
355,SUV,Basic,Offer1,Medical Leave,Married,College,7.0,113.0,586.390393,20588.0,8653.302322
356,SUV,Extended,Offer1,Unemployed,Single,College,1.0,126.0,656.57161,0.0,4313.34397
357,Four-Door Car,Extended,Offer4,Employed,Married,Doctor,2.0,79.0,127.322656,53375.0,9566.839884
358,Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,74.0,355.2,83846.0,8717.049833
359,Four-Door Car,Basic,Offer3,Unemployed,Married,College,2.0,61.0,292.8,0.0,6048.574243
360,Four-Door Car,Basic,Offer2,Employed,Married,College,9.0,72.0,476.156957,41770.0,5720.765064
361,Four-Door Car,Basic,Offer1,Medical Leave,Divorced,High School or Below,1.0,65.0,329.206567,25965.0,2491.257604
363,Four-Door Car,Extended,Offer1,Unemployed,Married,Bachelor,1.0,96.0,438.661509,0.0,3571.346578
364,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,69.0,331.2,54010.0,2734.439188
365,SUV,Basic,Offer1,Employed,Single,High School or Below,2.0,118.0,647.954067,36301.0,32306.28587
367,Two-Door Car,Basic,Offer1,Employed,Divorced,College,1.0,74.0,195.405949,94362.0,2957.102851
368,SUV,Extended,Offer1,Employed,Married,High School or Below,1.0,139.0,545.291103,51705.0,5555.492159
369,SUV,Premium,Offer2,Employed,Married,High School or Below,5.0,154.0,739.2,60774.0,12269.41862
370,Four-Door Car,Basic,Offer1,Disabled,Married,Bachelor,5.0,61.0,292.8,27357.0,4688.459288
371,Two-Door Car,Basic,Offer2,Employed,Married,College,1.0,62.0,297.6,67282.0,2487.729726
372,Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,8.0,85.0,733.21126,66627.0,6832.36853
373,Four-Door Car,Extended,Offer4,Employed,Single,Bachelor,2.0,82.0,502.580472,67772.0,9654.523307
374,SUV,Basic,Offer1,Unemployed,Single,College,9.0,103.0,741.6,0.0,6729.867925
375,Four-Door Car,Basic,Offer4,Employed,Married,College,5.0,64.0,138.961963,61972.0,5041.447024
376,SUV,Extended,Offer2,Medical Leave,Married,Bachelor,1.0,124.0,839.348464,13037.0,4726.869327
377,SUV,Extended,Offer1,Medical Leave,Married,College,6.0,126.0,604.8,22166.0,9799.175061
378,Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,6.0,96.0,469.030907,27293.0,7614.137981
379,Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,2.0,63.0,302.4,0.0,6334.466403
380,SUV,Extended,Offer1,Unemployed,Single,Bachelor,3.0,136.0,1237.257917,0.0,8818.051498
381,Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,5.0,69.0,331.2,83576.0,5557.934118
382,Sports Car,Basic,Offer1,Employed,Married,Bachelor,1.0,119.0,342.471939,77846.0,4798.240889
383,Four-Door Car,Basic,Offer3,Employed,Single,College,9.0,63.0,329.494,48139.0,4974.8733
384,Two-Door Car,Extended,Offer1,Employed,Single,High School or Below,1.0,85.0,612.0,37138.0,3347.028677
385,Four-Door Car,Basic,Offer1,Unemployed,Single,College,1.0,70.0,425.266308,0.0,2393.915369
386,Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,1.0,73.0,298.671049,0.0,2753.780996
387,Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,3.0,62.0,297.6,0.0,4777.121596
388,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,4.0,68.0,325.866271,83208.0,5459.216794
389,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,65.0,312.0,21190.0,2459.171724
390,Four-Door Car,Basic,Offer2,Employed,Married,College,7.0,72.0,308.981664,51148.0,5710.333115
391,SUV,Basic,Offer1,Employed,Married,College,4.0,105.0,339.017729,67128.0,8406.763319
392,Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,5.0,73.0,350.4,0.0,5504.139033
393,Four-Door Car,Extended,Offer4,Employed,Married,College,3.0,91.0,14.386157,83221.0,7305.936433
394,Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,3.0,80.0,384.0,44368.0,6366.225775
395,SUV,Extended,Offer1,Employed,Married,College,8.0,123.0,221.048602,36225.0,9767.936882
396,Two-Door Car,Premium,Offer4,Employed,Married,Master,1.0,102.0,423.819864,38884.0,4090.750678
397,Four-Door Car,Extended,Offer3,Medical Leave,Married,Doctor,1.0,90.0,372.652536,15144.0,3515.831889
398,Four-Door Car,Extended,Offer1,Unemployed,Single,College,8.0,83.0,628.023494,0.0,5955.544552
399,Four-Door Car,Basic,Offer1,Medical Leave,Single,Bachelor,1.0,69.0,331.2,29735.0,2453.570794
400,Four-Door Car,Basic,Offer3,Unemployed,Married,Bachelor,2.0,61.0,439.2,0.0,11510.36033
402,SUV,Basic,Offer2,Employed,Married,College,2.0,118.0,612.300581,28432.0,13869.92705
403,Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,1.0,99.0,171.830049,88701.0,3963.394851
404,Two-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,3.0,67.0,482.4,0.0,4660.006868
405,SUV,Premium,Offer3,Unemployed,Married,High School or Below,3.0,165.0,792.0,0.0,12500.84302
406,SUV,Extended,Offer3,Unemployed,Single,College,2.0,126.0,907.2,0.0,12520.97907
407,Four-Door Car,Basic,Offer4,Employed,Single,College,2.0,71.0,72.862304,64127.0,8343.751519
408,Four-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,1.0,64.0,307.2,37612.0,2537.969253
409,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2.0,66.0,316.8,84365.0,23981.54344
410,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,3.0,63.0,86.599774,67371.0,5059.325681
411,SUV,Basic,Offer2,Employed,Married,High School or Below,4.0,115.0,796.130111,47297.0,8840.193762
412,SUV,Basic,Offer1,Unemployed,Divorced,College,1.0,118.0,566.4,0.0,4019.384424
413,Four-Door Car,Basic,Offer4,Disabled,Married,Bachelor,1.0,68.0,326.4,21603.0,2585.937023
414,Sports Car,Basic,Offer3,Unemployed,Single,High School or Below,1.0,106.0,879.42749,0.0,3732.568536
415,Luxury Car,Extended,Offer1,Employed,Married,College,2.0,214.0,1027.2,71210.0,25807.063
416,SUV,Basic,Offer1,Employed,Single,High School or Below,1.0,106.0,165.237444,77853.0,4228.248035
417,Four-Door Car,Extended,Offer3,Unemployed,Single,College,2.0,93.0,669.6,0.0,9983.128441
418,SUV,Basic,Offer1,Employed,Married,High School or Below,3.0,113.0,441.992043,91763.0,9161.655119
419,Two-Door Car,Basic,Offer2,Unemployed,Married,College,1.0,65.0,149.241472,0.0,2436.839358
420,Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,2.0,69.0,678.209827,0.0,7457.468107
421,Four-Door Car,Basic,Offer3,Unemployed,Married,College,1.0,71.0,244.587596,0.0,2444.741307
422,Four-Door Car,Premium,Offer2,Employed,Married,High School or Below,6.0,107.0,438.069458,78077.0,8578.364528
423,Four-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,2.0,93.0,669.6,0.0,20534.39224
424,Four-Door Car,Extended,Offer2,Employed,Married,Doctor,1.0,99.0,475.2,37384.0,4014.453113
425,Two-Door Car,Extended,Offer4,Employed,Married,Bachelor,1.0,95.0,614.367195,43334.0,3633.05403
426,Two-Door Car,Basic,Offer1,Employed,Single,High School or Below,1.0,69.0,323.865715,86650.0,2732.652352
427,SUV,Basic,Offer2,Employed,Married,High School or Below,3.0,111.0,285.84958,48736.0,8860.654206
428,SUV,Basic,Offer1,Unemployed,Married,College,2.0,102.0,489.6,0.0,22103.5072
429,SUV,Extended,Offer2,Employed,Married,High School or Below,4.0,132.0,260.627146,80046.0,10633.50496
430,Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,1.0,83.0,26.314753,40348.0,3313.014405
431,Two-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,2.0,92.0,441.6,0.0,18892.19767
432,Four-Door Car,Basic,Offer3,Employed,Divorced,High School or Below,2.0,74.0,332.224293,81713.0,26864.20332
433,Two-Door Car,Basic,Offer1,Employed,Married,College,1.0,74.0,355.2,78561.0,3020.424822
434,Two-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,1.0,62.0,446.4,0.0,2086.610957
435,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,1.0,68.0,541.695658,32808.0,2688.863963
436,SUV,Basic,Offer1,Employed,Married,College,9.0,104.0,499.2,23666.0,8355.958185
437,Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,2.0,71.0,340.8,0.0,7637.111954
438,Luxury SUV,Extended,Offer1,Employed,Married,Bachelor,2.0,201.0,381.306996,39837.0,23893.3041
439,Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,7.0,69.0,599.152722,0.0,4847.24253
440,Four-Door Car,Basic,Offer2,Unemployed,Single,Bachelor,6.0,65.0,312.0,0.0,4433.694028
441,Four-Door Car,Basic,Offer2,Employed,Married,Master,1.0,69.0,56.60333,36650.0,2725.356404
442,Four-Door Car,Basic,Offer1,Unemployed,Single,College,5.0,71.0,859.599411,0.0,5170.811494
443,Four-Door Car,Basic,Offer2,Employed,Divorced,College,1.0,72.0,267.415871,74034.0,2862.180262
444,Two-Door Car,Extended,Offer4,Employed,Married,Bachelor,3.0,84.0,604.8,31517.0,6685.797205
445,Four-Door Car,Extended,Offer1,Employed,Single,Master,1.0,91.0,25.299,49080.0,3585.884123
446,Four-Door Car,Basic,Offer1,Unemployed,Divorced,Bachelor,3.0,62.0,114.097383,0.0,4407.769164
447,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,5.0,71.0,228.443418,29629.0,5433.214031
448,Four-Door Car,Basic,Offer4,Employed,Married,College,3.0,64.0,165.002742,85522.0,5126.836814
449,Four-Door Car,Basic,Offer4,Unemployed,Single,High School or Below,9.0,72.0,518.4,0.0,4846.322223
450,Two-Door Car,Extended,Offer2,Employed,Married,Master,2.0,87.0,119.630789,28935.0,20631.15177
451,Four-Door Car,Premium,Offer1,Unemployed,Single,High School or Below,2.0,114.0,820.8,0.0,35944.71048
452,SUV,Basic,Offer1,Employed,Married,Master,1.0,115.0,764.592151,94804.0,4583.748377
453,Four-Door Car,Basic,Offer4,Unemployed,Single,High School or Below,8.0,65.0,463.382118,0.0,4484.254754
454,Four-Door Car,Basic,Offer2,Employed,Divorced,College,1.0,63.0,302.4,30216.0,2452.059049
455,Two-Door Car,Extended,Offer3,Employed,Single,Bachelor,7.0,96.0,450.596865,28848.0,7427.501786
456,Sports Car,Extended,Offer1,Unemployed,Single,High School or Below,1.0,127.0,914.4,0.0,4573.998134
457,SUV,Basic,Offer1,Employed,Married,Master,3.0,101.0,253.364333,38702.0,8024.992989
458,Four-Door Car,Extended,Offer4,Employed,Married,High School or Below,1.0,79.0,379.2,52082.0,3145.456489
459,Two-Door Car,Basic,Offer1,Employed,Married,College,2.0,73.0,15.001594,41503.0,11610.25439
460,Two-Door Car,Basic,Offer4,Employed,Divorced,Master,1.0,63.0,273.691831,58237.0,2393.813375
461,Four-Door Car,Extended,Offer1,Retired,Single,College,2.0,97.0,465.6,13663.0,25464.82059
462,SUV,Basic,Offer2,Employed,Married,High School or Below,1.0,110.0,316.876671,33488.0,4314.174392
463,Sports Car,Premium,Offer1,Unemployed,Single,High School or Below,8.0,155.0,1116.0,0.0,10915.35877
464,Four-Door Car,Premium,Offer1,Unemployed,Divorced,College,4.0,118.0,566.4,0.0,8341.623748
466,SUV,Basic,Offer1,Employed,Married,College,2.0,114.0,432.409662,89771.0,36516.0456
467,Two-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,7.0,79.0,407.440238,0.0,5568.947534
468,Four-Door Car,Premium,Offer1,Unemployed,Single,Bachelor,1.0,118.0,566.4,0.0,4048.722426
469,Four-Door Car,Basic,Offer2,Employed,Divorced,College,1.0,73.0,350.4,51020.0,2907.898828
470,Four-Door Car,Extended,Offer2,Employed,Married,Master,1.0,93.0,391.210704,85751.0,3768.371028
471,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,3.0,63.0,302.4,68331.0,5033.390798
472,Four-Door Car,Extended,Offer1,Employed,Divorced,Bachelor,8.0,78.0,414.519064,53998.0,5898.733666
